Tree_ID,Latitude,Longitude,Species,Height_m,Canopy_Width_m,Canopy_Condition,Disease_Symptom,Leaf_Color_Deviation,Bark_Damage_Score,Root_Exposure,Soil_Moisture_%,Ambient_Temperature_C,Humidity_%,CO2_ppm,PM2.5_ug_m3,NO2_ppb,O3_ppb,Air_Quality_Index,Urban_Zone,Year_Planted,Recent_Pruning_Year,Tree_Crown_Diameter_m,Crown_Density_%,Proximity_to_Road_m
TREE_00015,37.573361803941374,-122.33297501716561,Maple,11.33,4.93,Partial,Fungal Infection,0.1,7,1,13.11,19.5,56.6,323.3,8.0,18.9,40.4,Moderate,Zone B,1972,2020.0,4.24,68.6,23.3
TREE_00016,37.62169689718382,-122.13365047470487,Cedar,13.68,3.52,None,None,0.91,10,1,18.39,27.0,82.5,307.3,8.4,29.2,45.8,Good,Zone D,1970,,3.77,20.9,47.05
TREE_00017,37.709902572652894,-122.29773630721307,Willow,5.26,8.36,Sparse,None,0.51,9,0,31.28,21.3,63.3,338.9,11.6,32.5,47.0,Very Unhealthy,Zone D,1978,2004.0,4.04,98.3,80.06
TREE_00018,37.67277800745685,-122.46582339984502,Birch,13.73,5.71,Full,None,0.41,2,0,7.69,34.8,73.9,360.2,2.8,16.3,32.4,Good,Zone B,2009,,5.0,29.2,82.18
TREE_00019,37.61649165607922,-122.10812007875795,Oak,16.69,4.77,None,Fungal Infection,0.59,7,0,32.46,18.9,55.4,399.7,14.7,3.6,27.5,Very Unhealthy,Zone D,1995,,2.55,73.9,17.81
TREE_00020,37.74474115788895,-122.35712083770365,Willow,6.04,7.12,Partial,Bacterial Wilt,0.19,0,0,32.76,31.1,32.4,367.8,12.3,10.7,29.8,Unhealthy,Zone A,1959,2011.0,3.45,77.6,54.91
TREE_00021,37.55579754426082,-122.28361656020037,Cedar,12.31,7.76,Partial,None,0.13,7,0,26.82,16.9,68.9,356.5,11.4,14.4,28.7,Unhealthy,Zone C,2002,2001.0,3.39,78.4,67.67
TREE_00022,37.61685785941409,-122.15727805838905,Pine,10.0,4.78,Sparse,None,0.41,6,0,32.01,22.1,68.0,373.8,17.7,8.2,27.4,Very Unhealthy,Zone B,1956,,5.18,84.3,39.66
TREE_00023,37.64654473731748,-122.33377192142565,Elm,5.37,5.52,Sparse,Bacterial Wilt,0.23,3,0,28.1,19.9,34.3,365.1,15.0,11.4,28.1,Moderate,Zone C,1979,,3.84,99.0,90.54
TREE_00024,37.682427993686815,-122.47170717192664,Birch,11.48,3.52,Sparse,Fungal Infection,0.24,10,1,20.85,34.5,40.3,381.4,12.6,20.1,41.3,Unhealthy,Zone D,2004,,2.89,18.6,35.9
TREE_00025,37.814070384557205,-122.3130394764936,Elm,12.5,4.78,Full,None,0.89,6,0,23.02,15.5,58.6,383.3,15.3,11.5,17.1,Good,Zone E,2014,2005.0,1.63,52.5,49.01
TREE_00026,37.57986951286335,-122.02777570865285,Willow,8.2,4.7,None,Bacterial Wilt,0.53,9,0,23.85,29.4,56.8,361.0,8.9,37.7,40.8,Unhealthy for Sensitive Groups,Zone D,1970,2010.0,5.37,97.7,58.68
TREE_00027,37.70569377536545,-122.17913280135072,Birch,13.5,5.28,None,None,0.48,10,0,8.81,20.0,75.1,321.2,15.0,16.0,29.9,Good,Zone D,1956,,3.98,89.4,42.74
TREE_00028,37.736965827544815,-122.1642604256664,Redwood,5.0,5.5,Sparse,None,0.69,6,0,10.79,31.2,53.2,397.6,16.1,4.7,15.3,Good,Zone B,1993,2015.0,3.77,99.2,96.36
TREE_00029,37.518580165088,-122.18385892318118,Redwood,5.52,5.84,Full,Leaf Spot,0.95,9,0,20.7,21.2,69.8,441.8,-0.2,31.7,35.9,Good,Zone C,2017,2007.0,3.89,62.4,76.05
TREE_00030,37.74301794076057,-122.40050393052029,Cedar,10.41,5.36,None,Root Rot,0.11,0,0,8.46,18.7,72.3,347.0,20.8,52.2,14.5,Very Unhealthy,Zone B,1964,,5.34,70.6,82.91
TREE_00031,37.568209649474916,-122.29083306794885,Oak,10.08,3.18,Partial,None,0.83,2,0,33.95,28.9,68.7,394.5,13.7,16.7,30.9,Very Unhealthy,Zone A,1951,2010.0,4.52,33.7,75.26
TREE_00032,37.526020637194115,-122.12453010081835,Redwood,7.85,3.59,Partial,None,0.58,6,0,20.21,20.2,65.8,377.8,15.1,22.6,51.2,Good,Zone C,1952,,1.74,51.2,58.81
TREE_00033,37.87955421490133,-122.44931355122343,Redwood,12.43,4.18,Partial,None,0.15,10,0,16.4,24.7,78.3,429.0,17.4,33.0,25.5,Unhealthy for Sensitive Groups,Zone A,1997,,4.71,11.9,2.82
TREE_00034,37.886252813229824,-122.36107361195515,Maple,11.59,4.58,None,None,0.3,4,0,9.73,17.6,69.4,356.6,11.3,16.2,26.3,Moderate,Zone A,2017,,1.86,74.8,76.47
TREE_00035,37.82335893924658,-122.36184044576707,Elm,12.57,6.58,Sparse,None,0.48,8,0,17.5,29.5,80.1,389.2,9.9,38.7,37.9,Moderate,Zone B,1996,2010.0,4.86,93.3,61.27
TREE_00036,37.62184550766935,-122.28399053620275,Elm,9.63,3.26,Partial,None,0.69,6,0,14.07,23.1,68.2,393.8,13.5,4.0,36.4,Unhealthy,Zone D,1992,,3.44,20.1,8.07
TREE_00037,37.53906884560255,-122.0098156295289,Redwood,11.81,4.46,Sparse,Root Rot,0.24,2,0,7.64,17.8,39.5,412.7,25.8,18.8,36.4,Unhealthy,Zone E,1976,2008.0,4.88,50.9,11.86
TREE_00038,37.77369321060486,-122.4662487266581,Maple,8.66,6.43,Full,Bacterial Wilt,0.53,0,0,34.01,29.8,48.6,344.9,11.5,11.8,25.5,Unhealthy for Sensitive Groups,Zone D,1953,,4.96,66.1,48.12
TREE_00039,37.67606099749584,-122.2406495028097,Elm,16.16,4.55,Partial,Fungal Infection,0.68,4,0,12.95,17.1,49.8,415.2,8.8,8.7,34.7,Good,Zone D,1985,2015.0,3.25,66.9,85.28
TREE_00040,37.54881529393791,-122.41031765899389,Elm,7.56,5.69,Full,Fungal Infection,0.45,9,0,25.71,26.5,35.6,373.4,18.7,12.1,24.3,Very Unhealthy,Zone C,2001,,3.98,37.6,55.37
TREE_00041,37.69807076404451,-122.01466172729513,Birch,16.32,4.79,Sparse,None,0.86,4,0,7.74,27.1,71.5,425.7,1.6,25.1,34.7,Unhealthy,Zone B,1994,,4.27,11.8,91.96
TREE_00042,37.51375540844609,-122.44334824763627,Birch,10.1,5.39,None,None,0.87,6,0,32.4,33.6,65.7,380.1,11.5,29.2,28.7,Good,Zone C,2000,2009.0,3.13,89.9,81.57
TREE_00043,37.86372816083151,-122.2981994988192,Maple,5.87,4.66,Sparse,None,0.47,0,1,22.72,18.0,65.4,462.6,8.8,27.1,37.6,Moderate,Zone E,1981,2001.0,3.12,18.3,63.08
TREE_00044,37.60351199264001,-122.1310575075827,Willow,14.1,6.0,Partial,Insect Infestation,0.97,9,0,24.71,28.1,58.7,319.5,15.1,5.3,39.0,Unhealthy for Sensitive Groups,Zone B,1951,2022.0,4.54,26.0,31.34
TREE_00045,37.76500891374159,-122.14772278598628,Oak,10.38,2.68,Partial,None,0.08,1,1,28.45,22.6,62.6,427.2,12.7,25.5,34.4,Very Unhealthy,Zone D,1966,2003.0,5.54,96.7,85.27
TREE_00046,37.624684430435764,-122.28863568155303,Cedar,12.55,4.46,Sparse,Bacterial Wilt,0.0,10,0,23.18,23.0,30.5,415.6,6.5,18.8,22.3,Very Unhealthy,Zone A,1972,,2.6,55.0,65.92
TREE_00047,37.70802720847112,-122.32673791602365,Redwood,13.67,5.44,Partial,Fungal Infection,0.38,5,1,7.13,25.0,35.8,423.1,15.2,14.2,14.9,Unhealthy,Zone D,1993,2005.0,4.61,88.7,55.28
TREE_00048,37.71868411173731,-122.30119381072356,Redwood,11.01,5.8,Partial,None,0.6,7,1,17.89,19.7,71.0,452.7,7.9,17.8,18.7,Good,Zone D,1995,2009.0,3.72,90.7,50.06
TREE_00049,37.57394178221021,-122.36786186842068,Cedar,8.22,7.24,Full,None,0.63,3,0,12.86,24.2,45.7,310.1,11.8,36.7,20.3,Very Unhealthy,Zone B,1961,2020.0,4.81,99.0,21.28
TREE_00050,37.887833851105825,-122.3973335306466,Redwood,12.93,4.41,None,Fungal Infection,0.48,2,0,19.6,28.7,36.5,508.3,9.9,17.2,59.9,Moderate,Zone D,2003,,4.55,13.7,1.57
TREE_00051,37.810053129344446,-122.25848015122055,Redwood,10.0,7.22,Sparse,Root Rot,0.12,2,0,17.13,24.1,49.7,425.9,16.1,27.6,36.6,Moderate,Zone E,1962,,4.37,14.8,71.65
TREE_00052,37.875799576625674,-122.3657331219662,Willow,12.06,4.01,Full,Insect Infestation,0.17,2,0,29.8,15.9,45.3,496.5,9.7,30.3,32.3,Unhealthy for Sensitive Groups,Zone D,2017,,2.27,27.2,91.96
TREE_00053,37.85793094017106,-122.35626916755137,Elm,3.54,6.99,Partial,None,0.85,1,1,12.41,20.2,31.8,493.3,-3.5,28.8,24.5,Unhealthy for Sensitive Groups,Zone A,2020,,6.25,69.1,18.37
TREE_00054,37.73915999152443,-122.17162196826273,Oak,11.34,6.23,Full,Fungal Infection,0.87,0,0,11.04,22.0,54.6,421.4,6.4,15.4,39.4,Moderate,Zone B,2015,2008.0,3.88,33.6,93.47
TREE_00055,37.868749694009246,-122.01573133415005,Redwood,8.08,3.63,None,None,0.67,4,1,33.74,22.1,31.6,412.9,12.3,16.0,28.1,Moderate,Zone E,1964,,3.67,54.6,7.19
TREE_00056,37.535397000820765,-122.19818139972031,Maple,14.96,5.46,Sparse,Leaf Spot,0.66,9,0,33.49,16.6,30.0,437.5,8.7,22.7,33.4,Good,Zone B,2011,,4.82,80.8,55.25
TREE_00057,37.578393144967656,-122.46151026646751,Willow,11.87,4.92,None,Insect Infestation,0.6,4,0,34.8,24.0,77.5,285.9,18.0,14.5,36.0,Very Unhealthy,Zone A,2022,2003.0,1.79,26.7,11.56
TREE_00058,37.518090915564215,-122.46220819307297,Redwood,10.72,5.94,None,Fungal Infection,0.2,4,1,22.05,28.8,48.9,395.6,6.9,11.5,34.2,Good,Zone C,1973,,4.94,35.7,88.91
TREE_00059,37.630132132305306,-122.02428838957722,Maple,11.46,4.67,Full,None,0.43,3,0,8.39,16.0,64.1,448.4,14.9,21.0,30.7,Unhealthy for Sensitive Groups,Zone E,2019,2019.0,5.17,75.5,10.32
TREE_00060,37.65547091587579,-122.35135460484634,Birch,7.0,4.54,Full,Fungal Infection,0.7,2,0,31.41,30.0,47.9,476.4,16.0,11.9,19.9,Unhealthy for Sensitive Groups,Zone A,2010,2013.0,2.52,10.7,25.11
TREE_00061,37.608539612709556,-122.45396650695876,Elm,14.87,7.05,None,None,0.54,2,0,9.35,34.1,85.8,384.3,12.9,15.7,30.6,Unhealthy for Sensitive Groups,Zone C,2020,2018.0,4.5,78.2,80.59
TREE_00062,37.83149500366077,-122.2004777064248,Pine,15.97,4.85,Partial,None,0.02,1,1,9.67,15.2,73.8,418.0,14.0,17.3,40.9,Very Unhealthy,Zone A,2021,2000.0,3.91,70.9,68.85
TREE_00063,37.64270133067743,-122.18817561085487,Redwood,11.18,6.24,Sparse,None,0.95,4,0,10.8,18.9,52.2,428.6,11.3,14.4,37.5,Unhealthy,Zone C,1952,,4.46,21.7,38.81
TREE_00064,37.61237380387495,-122.17574758994066,Maple,14.77,4.66,Partial,Root Rot,0.84,3,1,24.6,25.9,42.6,395.9,13.4,17.4,33.2,Unhealthy for Sensitive Groups,Zone C,1978,,2.2,31.9,83.68
TREE_00065,37.717078433263296,-122.36629898607123,Willow,8.29,7.5,Partial,Fungal Infection,0.26,5,0,8.22,19.4,38.3,353.3,9.6,15.7,38.2,Unhealthy for Sensitive Groups,Zone B,1970,,5.5,11.4,63.57
TREE_00066,37.55636968998991,-122.49244465789276,Elm,7.61,3.98,Sparse,None,0.62,1,0,28.35,30.3,75.7,366.9,13.1,40.4,18.0,Good,Zone D,2003,2017.0,4.84,62.3,25.98
TREE_00067,37.82087879230161,-122.01749231527276,Oak,10.12,4.08,Full,Bacterial Wilt,0.92,1,0,6.75,21.2,57.2,347.8,10.6,37.7,28.4,Good,Zone D,1955,,2.75,45.7,74.03
TREE_00068,37.52982025747191,-122.37455347715445,Willow,11.3,7.29,Partial,None,0.1,7,0,8.31,20.9,43.9,324.4,10.6,15.7,29.6,Unhealthy,Zone A,1960,2006.0,3.4,48.1,33.31
TREE_00069,37.894754774640205,-122.16198685597372,Birch,8.82,4.33,Full,None,0.5,5,0,18.03,15.0,85.2,391.5,8.7,15.4,19.3,Unhealthy,Zone C,2019,2005.0,5.23,19.3,81.57
TREE_00070,37.80889790771866,-122.14668506506065,Cedar,11.61,7.4,Sparse,None,0.46,2,0,16.38,20.4,53.4,510.8,10.9,17.8,35.1,Unhealthy,Zone D,1976,2008.0,4.44,41.7,78.16
TREE_00071,37.57948627261367,-122.19499629146026,Redwood,10.92,6.34,Partial,Fungal Infection,0.41,4,0,34.69,19.4,62.6,412.3,19.5,22.4,36.8,Unhealthy,Zone A,2009,,3.22,92.7,30.85
TREE_00072,37.50220884684944,-122.34354630289317,Oak,7.01,4.77,Full,Fungal Infection,0.84,2,0,34.01,21.9,81.5,385.7,10.8,19.0,31.6,Good,Zone A,2022,,4.26,15.8,10.37
TREE_00073,37.82618457138193,-122.36445187311797,Maple,11.56,2.28,Full,None,0.38,10,0,10.69,18.0,80.0,418.6,16.7,20.2,32.0,Unhealthy for Sensitive Groups,Zone E,2021,,3.53,97.7,82.08
TREE_00074,37.78274293753905,-122.20116585864865,Redwood,12.59,4.97,Partial,Insect Infestation,0.06,1,0,33.4,26.9,68.3,358.7,14.6,27.9,24.1,Good,Zone B,1976,2012.0,2.54,86.3,36.44
TREE_00075,37.79160286721639,-122.06695218319416,Maple,10.51,5.15,Sparse,None,0.07,2,0,25.77,19.8,83.3,317.0,13.2,11.3,24.2,Moderate,Zone B,1981,2010.0,3.72,28.3,32.53
TREE_00076,37.80850813867438,-122.0266331355383,Oak,13.46,6.75,None,Insect Infestation,0.04,0,0,17.27,31.6,87.1,365.5,13.4,14.1,16.4,Moderate,Zone C,1982,,4.57,73.5,1.82
TREE_00077,37.529617860693634,-122.44704709779812,Maple,6.35,7.38,Full,None,0.41,6,0,27.19,20.7,86.1,343.5,12.1,5.6,28.1,Unhealthy for Sensitive Groups,Zone D,1954,2021.0,3.21,18.2,72.59
TREE_00078,37.643386291417706,-122.42258569370114,Willow,11.4,3.97,Sparse,Insect Infestation,0.72,5,1,32.0,19.2,50.9,307.6,9.1,16.0,24.0,Unhealthy,Zone C,1958,,4.63,24.4,27.41
TREE_00079,37.54634762381005,-122.02763187060846,Elm,6.49,6.2,Partial,Insect Infestation,0.2,4,0,10.4,16.1,53.8,372.5,20.6,20.4,22.0,Unhealthy for Sensitive Groups,Zone D,1962,,5.11,53.9,43.59
TREE_00080,37.84524137035024,-122.1317323858326,Maple,6.66,6.15,Full,Insect Infestation,0.65,5,1,10.88,29.8,44.4,424.4,17.3,20.4,30.6,Moderate,Zone D,1955,,4.89,46.0,89.98
TREE_00081,37.74931925073102,-122.05850308758511,Birch,8.11,6.61,Full,None,0.69,7,0,17.26,25.2,80.2,419.7,12.2,32.5,26.3,Unhealthy for Sensitive Groups,Zone D,1985,2011.0,4.56,83.4,12.53
TREE_00082,37.63235920994106,-122.39868368293233,Elm,7.17,5.75,Full,Insect Infestation,0.26,2,0,10.08,17.3,37.3,413.6,12.3,11.3,15.9,Unhealthy,Zone D,1999,,2.54,94.5,3.8
TREE_00083,37.52542334011441,-122.2062070644453,Willow,8.36,2.09,Sparse,None,0.6,2,0,15.81,19.4,51.3,483.5,14.8,3.7,24.5,Good,Zone D,2010,2002.0,3.69,94.9,56.05
TREE_00084,37.62439292868626,-122.14943020279127,Redwood,9.36,4.77,Full,Bacterial Wilt,0.68,4,0,24.37,35.0,30.6,372.4,6.7,20.9,28.7,Unhealthy,Zone E,1997,2017.0,4.24,23.2,69.99
TREE_00085,37.630073328810695,-122.15994405727652,Pine,12.51,3.27,Full,None,0.47,4,0,29.38,31.1,65.7,421.6,8.1,18.2,19.0,Good,Zone E,1960,,3.94,71.8,52.82
TREE_00086,37.79184247133522,-122.29592415456665,Redwood,9.04,4.7,Partial,None,0.34,10,0,14.06,22.0,69.5,380.6,2.6,28.5,33.5,Moderate,Zone D,1966,,4.95,61.4,33.96
TREE_00087,37.75502298854209,-122.49230255415435,Maple,5.24,6.47,Full,Fungal Infection,0.62,0,1,13.45,25.9,44.9,471.1,10.9,20.8,30.8,Very Unhealthy,Zone A,1951,,3.88,43.3,36.14
TREE_00088,37.85488509703053,-122.20853697159787,Maple,13.42,5.46,Sparse,Insect Infestation,0.98,3,0,28.39,23.3,74.2,359.6,18.0,32.8,21.3,Unhealthy for Sensitive Groups,Zone A,1956,,5.25,99.5,14.96
TREE_00089,37.68888597006478,-122.3734492304102,Birch,7.49,6.72,Partial,None,0.43,8,0,16.43,15.7,52.9,437.2,10.6,18.6,37.8,Very Unhealthy,Zone B,2006,2014.0,5.07,51.0,31.17
TREE_00090,37.54783769837532,-122.27487287692855,Willow,9.82,5.51,None,Root Rot,0.39,7,0,29.55,30.6,48.7,412.5,23.0,14.8,43.9,Unhealthy,Zone D,1980,2014.0,3.41,69.9,75.89
TREE_00091,37.7852979148892,-122.0212094924581,Birch,11.34,3.05,Partial,Leaf Spot,0.46,2,0,34.8,29.3,87.4,461.0,9.8,27.1,29.3,Good,Zone A,2008,,2.61,55.3,49.91
TREE_00092,37.80431401944676,-122.30048234117878,Cedar,10.6,1.22,Full,Fungal Infection,0.08,4,0,34.39,23.2,65.3,400.5,12.9,24.8,27.9,Unhealthy,Zone B,1995,2004.0,5.02,19.3,89.08
TREE_00093,37.7245108790278,-122.08009919666779,Willow,13.28,5.22,None,None,0.55,4,0,24.88,31.9,45.1,388.2,10.6,12.9,26.8,Unhealthy,Zone A,1956,2001.0,5.52,22.7,16.8
TREE_00094,37.808386871981824,-122.40572969712538,Oak,11.44,4.68,Partial,Insect Infestation,0.33,6,0,16.26,25.7,89.0,382.1,0.8,25.4,24.7,Moderate,Zone B,1963,2017.0,3.59,77.5,44.24
TREE_00095,37.697518238545754,-122.16376975098748,Oak,7.42,3.53,Full,None,0.12,7,0,6.96,16.3,53.3,392.3,10.6,24.4,20.6,Unhealthy,Zone C,1958,2005.0,4.51,82.2,70.16
TREE_00096,37.709093131752795,-122.01149652278053,Oak,16.54,2.45,Partial,None,0.47,8,0,27.14,20.2,68.9,306.7,7.8,19.5,31.1,Unhealthy for Sensitive Groups,Zone A,1958,2017.0,5.13,42.7,27.23
TREE_00097,37.671016407343416,-122.44905344956354,Birch,10.58,3.9,Sparse,Root Rot,0.0,6,0,34.34,24.2,73.4,373.9,13.2,31.2,22.4,Moderate,Zone D,1951,,2.27,16.0,26.68
TREE_00098,37.51016765069764,-122.4958400288864,Oak,9.56,4.71,Full,Leaf Spot,0.4,1,0,7.04,17.1,55.3,370.9,18.4,34.6,4.0,Very Unhealthy,Zone D,1965,2006.0,5.83,96.1,10.56
TREE_00099,37.54315657079732,-122.28320860368369,Willow,12.89,6.0,Sparse,Root Rot,0.11,7,0,5.19,26.4,62.2,343.0,10.2,14.2,50.3,Unhealthy,Zone E,1951,,3.58,54.7,89.29
TREE_00100,37.512571674274696,-122.45368725847432,Oak,10.75,5.28,Full,None,0.02,7,0,29.95,17.4,44.4,371.9,13.9,24.9,47.0,Very Unhealthy,Zone C,2019,,5.9,22.1,17.25
TREE_00101,37.75456416450551,-122.12580782516189,Pine,11.2,7.41,Sparse,None,0.82,10,0,8.07,19.0,57.9,355.1,10.9,20.7,31.1,Unhealthy for Sensitive Groups,Zone C,1972,,4.91,27.9,97.01
TREE_00102,37.62574239243053,-122.04272566807572,Oak,17.48,3.45,None,None,0.92,1,1,7.45,32.9,48.6,374.3,16.5,15.5,17.0,Unhealthy for Sensitive Groups,Zone A,1977,,4.41,14.1,44.88
TREE_00103,37.70342827646588,-122.28298951364562,Maple,9.17,6.32,Sparse,None,0.21,5,0,32.31,35.0,62.8,431.2,23.4,18.8,53.0,Unhealthy for Sensitive Groups,Zone B,1992,2019.0,6.03,73.9,98.18
TREE_00104,37.86302658957044,-122.37064417892228,Cedar,9.05,5.07,Partial,None,0.54,9,0,7.39,26.0,70.2,431.3,19.4,2.3,35.2,Very Unhealthy,Zone E,2012,2018.0,4.41,73.4,4.04
TREE_00105,37.59971689165955,-122.2827983404967,Birch,10.35,6.04,Full,None,0.28,0,1,8.42,27.4,66.8,478.9,8.9,30.8,26.3,Very Unhealthy,Zone C,1966,,5.52,64.2,56.71
TREE_00106,37.66415316921425,-122.138276091075,Elm,13.21,4.35,Partial,Fungal Infection,0.49,10,0,22.09,30.9,76.6,415.4,18.9,27.9,45.1,Good,Zone C,1985,,4.92,59.2,69.08
TREE_00107,37.80222045541722,-122.49547291920982,Cedar,5.48,6.61,Sparse,Insect Infestation,0.44,6,0,27.7,28.9,32.5,324.0,13.5,0.8,20.0,Moderate,Zone D,1968,2022.0,3.46,44.3,51.63
TREE_00108,37.59151926619665,-122.20527300525765,Pine,4.1,5.44,Full,Insect Infestation,0.27,9,0,16.99,18.6,34.7,383.5,18.2,18.1,9.2,Unhealthy,Zone D,1954,,2.75,95.6,57.01
TREE_00109,37.53079196393152,-122.19335415755631,Birch,8.24,3.98,Sparse,Bacterial Wilt,0.7,1,1,17.62,23.2,42.3,368.0,6.9,23.4,23.5,Moderate,Zone B,1972,,5.65,82.0,53.84
TREE_00110,37.615900581165505,-122.18115587655203,Willow,5.1,4.98,None,None,0.13,4,0,23.98,25.7,89.1,350.9,11.6,28.5,37.2,Unhealthy for Sensitive Groups,Zone A,1968,2005.0,4.15,91.7,14.95
TREE_00111,37.564488514901605,-122.37898896000956,Redwood,8.73,4.64,None,None,0.05,6,0,20.16,22.2,78.0,453.6,12.9,17.4,52.8,Unhealthy,Zone B,1950,,4.8,38.0,53.19
TREE_00112,37.871879060937026,-122.14297363831093,Birch,11.51,5.73,None,Insect Infestation,0.77,9,0,5.56,18.5,85.4,422.7,11.7,17.5,22.9,Good,Zone A,1976,2007.0,4.55,98.0,54.17
TREE_00113,37.823248151825766,-122.4543042568341,Maple,7.33,3.23,Sparse,Fungal Infection,0.67,10,0,8.41,29.7,46.3,403.5,13.4,23.7,18.4,Moderate,Zone E,1992,,4.62,24.9,35.56
TREE_00114,37.75336150260417,-122.4003648317666,Willow,5.72,4.96,Sparse,Fungal Infection,0.5,8,0,22.45,19.0,64.4,325.8,11.5,13.2,30.3,Unhealthy for Sensitive Groups,Zone C,1974,2004.0,4.9,15.1,60.75
TREE_00115,37.848584236075084,-122.06126497667276,Cedar,10.21,5.59,None,None,0.47,0,0,28.81,20.2,63.3,395.9,10.2,36.6,29.9,Unhealthy,Zone B,2003,2000.0,3.94,38.8,41.19
TREE_00116,37.82146883075964,-122.13063842463671,Cedar,12.59,5.05,Sparse,None,0.5,8,1,27.89,20.7,64.2,516.3,9.7,21.0,48.8,Unhealthy,Zone A,1955,,5.79,28.1,75.52
TREE_00117,37.57462802355441,-122.49312722299433,Oak,4.92,7.02,Partial,Fungal Infection,0.44,10,1,27.2,18.2,73.1,358.2,7.9,21.9,32.5,Unhealthy for Sensitive Groups,Zone E,1974,2022.0,5.46,56.6,3.82
TREE_00118,37.85702359939599,-122.3758118698151,Willow,12.46,6.16,Sparse,Bacterial Wilt,0.39,4,0,28.14,32.0,53.6,389.1,13.5,33.5,51.1,Very Unhealthy,Zone B,1995,2000.0,3.47,41.5,1.0
TREE_00119,37.71573689676626,-122.39279675850342,Redwood,12.45,4.99,Partial,Root Rot,0.5,5,0,6.33,27.2,70.6,469.4,11.3,19.8,43.8,Moderate,Zone C,2008,,3.46,25.5,52.39
